"External ID","ID","ZIP","State/External ID","State/ID","City/External ID","City/ID","Kecamatan/External ID","Kecamatan/ID","Kelurahan/External ID","Kelurahan/ID"
"rv_location_custom.kode_pos_10110","13258","10110","base.state_id_jk","619","rv_location_custom.city_id_25","539","rv_location_custom.kecamatan_id_6285","6285","rv_location_custom.kelurahan_id_25631","25631"
"rv_location_custom.kode_pos_10120","13259","10120","base.state_id_jk","619","rv_location_custom.city_id_25","539","rv_location_custom.kecamatan_id_6285","6285","rv_location_custom.kelurahan_id_25632","25632"
"rv_location_custom.kode_pos_10130","13261","10130","base.state_id_jk","619","rv_location_custom.city_id_25","539","rv_location_custom.kecamatan_id_6285","6285","rv_location_custom.kelurahan_id_25634","25634"
"rv_location_custom.kode_pos_10140","13257","10140","base.state_id_jk","619","rv_location_custom.city_id_25","539","rv_location_custom.kecamatan_id_6285","6285","rv_location_custom.kelurahan_id_25630","25630"
"rv_location_custom.kode_pos_10150","13256","10150","base.state_id_jk","619","rv_location_custom.city_id_25","539","rv_location_custom.kecamatan_id_6285","6285","rv_location_custom.kelurahan_id_25629","25629"
"rv_location_custom.kode_pos_10160","13260","10160","base.state_id_jk","619","rv_location_custom.city_id_25","539","rv_location_custom.kecamatan_id_6285","6285","rv_location_custom.kelurahan_id_25633","25633"
"rv_location_custom.kode_pos_10210","13287","10210","base.state_id_jk","619","rv_location_custom.city_id_25","539","rv_location_custom.kecamatan_id_6291","6291","rv_location_custom.kelurahan_id_25663","25663"
"rv_location_custom.kode_pos_10220","13290","10220","base.state_id_jk","619","rv_location_custom.city_id_25","539","rv_location_custom.kecamatan_id_6291","6291","rv_location_custom.kelurahan_id_25666","25666"
"rv_location_custom.kode_pos_10230","13292","10230","base.state_id_jk","619","rv_location_custom.city_id_25","539","rv_location_custom.kecamatan_id_6291","6291","rv_location_custom.kelurahan_id_25668","25668"
"rv_location_custom.kode_pos_10240","13291","10240","base.state_id_jk","619","rv_location_custom.city_id_25","539","rv_location_custom.kecamatan_id_6291","6291","rv_location_custom.kelurahan_id_25667","25667"
"rv_location_custom.kode_pos_10250","13289","10250","base.state_id_jk","619","rv_location_custom.city_id_25","539","rv_location_custom.kecamatan_id_6291","6291","rv_location_custom.kelurahan_id_25665","25665"
"rv_location_custom.kode_pos_10260","13293","10260","base.state_id_jk","619","rv_location_custom.city_id_25","539","rv_location_custom.kecamatan_id_6291","6291","rv_location_custom.kelurahan_id_25669","25669"
"rv_location_custom.kode_pos_10270","13288","10270","base.state_id_jk","619","rv_location_custom.city_id_25","539","rv_location_custom.kecamatan_id_6291","6291","rv_location_custom.kelurahan_id_25664","25664"
"rv_location_custom.kode_pos_10310","13274","10310","base.state_id_jk","619","rv_location_custom.city_id_25","539","rv_location_custom.kecamatan_id_6288","6288","rv_location_custom.kelurahan_id_25650","25650"
"rv_location_custom.kode_pos_10320","13275","10320","base.state_id_jk","619","rv_location_custom.city_id_25","539","rv_location_custom.kecamatan_id_6288","6288","rv_location_custom.kelurahan_id_25651","25651"
"rv_location_custom.kode_pos_10330","13271","10330","base.state_id_jk","619","rv_location_custom.city_id_25","539","rv_location_custom.kecamatan_id_6288","6288","rv_location_custom.kelurahan_id_25647","25647"
"rv_location_custom.kode_pos_10340","13273","10340","base.state_id_jk","619","rv_location_custom.city_id_25","539","rv_location_custom.kecamatan_id_6288","6288","rv_location_custom.kelurahan_id_25649","25649"
