"External ID","ID","State Code","State Name","Country/External ID","Country/ID"
"base.state_id_ac","613","AC","Aceh","base.id","100"
"base.state_id_ba","614","BA","Bali","base.id","100"
"base.state_id_bb","615","BB","Bangka Belitung","base.id","100"
"base.state_id_be","617","BE","Bengkulu","base.id","100"
"base.state_id_bt","616","BT","Banten","base.id","100"
"base.state_id_go","618","GO","Gorontalo","base.id","100"
"base.state_id_ja","620","JA","Jambi","base.id","100"
"base.state_id_jb","621","JB","Jawa Barat","base.id","100"
"base.state_id_ji","623","JI","Jawa Timur","base.id","100"
"base.state_id_jk","619","JK","DKI Jakarta","base.id","100"
"base.state_id_jt","622","JT","Jawa Tengah","base.id","100"
"base.state_id_kb","624","KB","Kalimantan Barat","base.id","100"
"base.state_id_ki","627","KI","Kalimantan Timur","base.id","100"
"base.state_id_kr","629","KR","Kepulauan Riau","base.id","100"
"base.state_id_ks","625","KS","Kalimantan Selatan","base.id","100"
"base.state_id_kt","626","KT","Kalimantan Tengah","base.id","100"
"base.state_id_ku","628","KU","Kalimantan Utara","base.id","100"
"base.state_id_la","630","LA","Lampung","base.id","100"
"base.state_id_ma","631","MA","Maluku","base.id","100"
"base.state_id_mu","632","MU","Maluku Utara","base.id","100"
"base.state_id_nb","633","NB","Nusa Tenggara Barat","base.id","100"
"base.state_id_nt","634","NT","Nusa Tenggara Timur","base.id","100"
"base.state_id_pa","635","PA","Papua","base.id","100"
"base.state_id_pb","636","PB","Papua Barat","base.id","100"
"base.state_id_pd","1702","PD","Papua Barat Daya","base.id","100"
"base.state_id_pp","639","PE","Papua Pegunungan","base.id","100"
"base.state_id_ps","637","PS","Papua Selatan","base.id","100"
"base.state_id_pt","638","PT","Papua Tengah","base.id","100"
"base.state_id_ri","640","RI","Riau","base.id","100"
"base.state_id_sa","645","SA","Sulawesi Utara","base.id","100"
"base.state_id_sb","646","SB","Sumatra Barat","base.id","100"
"base.state_id_sg","644","SG","Sulawesi Tenggara","base.id","100"
"base.state_id_sn","642","SN","Sulawesi Selatan","base.id","100"
"base.state_id_sr","641","SR","Sulawesi Barat","base.id","100"
"base.state_id_ss","647","SS","Sumatra Selatan","base.id","100"
"base.state_id_st","643","ST","Sulawesi Tengah","base.id","100"
"base.state_id_su","648","SU","Sumatra Utara","base.id","100"
"base.state_id_yo","649","YO","Yogyakarta","base.id","100"
